Year,Month,Day,Hour,Minute,Second,HYY_META.O3336
2018,01,16,00,30,00,NaN
2018,01,16,01,00,00,NaN
2018,01,16,01,30,00,NaN
2018,01,16,02,00,00,NaN
2018,01,16,02,30,00,NaN
2018,01,16,03,00,00,NaN
2018,01,16,03,30,00,NaN
2018,01,16,04,00,00,NaN
2018,01,16,04,30,00,NaN
2018,01,16,05,00,00,NaN
2018,01,16,05,30,00,NaN
2018,01,16,06,00,00,NaN
2018,01,16,06,30,00,NaN
2018,01,16,07,00,00,NaN
2018,01,16,07,30,00,NaN
2018,01,16,08,00,00,NaN
2018,01,16,08,30,00,NaN
2018,01,16,09,00,00,NaN
2018,01,16,09,30,00,NaN
2018,01,16,10,00,00,NaN
2018,01,16,10,30,00,NaN
2018,01,16,11,00,00,NaN
2018,01,16,11,30,00,NaN
2018,01,16,12,00,00,NaN
2018,01,16,12,30,00,NaN
2018,01,16,13,00,00,NaN
2018,01,16,13,30,00,NaN
2018,01,16,14,00,00,NaN
2018,01,16,14,30,00,NaN
2018,01,16,15,00,00,NaN
2018,01,16,15,30,00,NaN
2018,01,16,16,00,00,NaN
2018,01,16,16,30,00,NaN
2018,01,16,17,00,00,NaN
2018,01,16,17,30,00,NaN
2018,01,16,18,00,00,NaN
2018,01,16,18,30,00,NaN
2018,01,16,19,00,00,NaN
2018,01,16,19,30,00,NaN
2018,01,16,20,00,00,NaN
2018,01,16,20,30,00,NaN
2018,01,16,21,00,00,NaN
2018,01,16,21,30,00,NaN
2018,01,16,22,00,00,NaN
2018,01,16,22,30,00,NaN
2018,01,16,23,00,00,NaN
2018,01,16,23,30,00,NaN
2018,01,17,00,00,00,NaN
2018,01,17,00,30,00,NaN
2018,01,17,01,00,00,NaN
2018,01,17,01,30,00,NaN
2018,01,17,02,00,00,NaN
2018,01,17,02,30,00,NaN
2018,01,17,03,00,00,NaN
2018,01,17,03,30,00,NaN
2018,01,17,04,00,00,NaN
2018,01,17,04,30,00,NaN
2018,01,17,05,00,00,NaN
2018,01,17,05,30,00,NaN
2018,01,17,06,00,00,NaN
2018,01,17,06,30,00,NaN
2018,01,17,07,00,00,NaN
2018,01,17,07,30,00,NaN
2018,01,17,08,00,00,NaN
2018,01,17,08,30,00,NaN
2018,01,17,09,00,00,NaN
2018,01,17,09,30,00,NaN
2018,01,17,10,00,00,NaN
2018,01,17,10,30,00,NaN
2018,01,17,11,00,00,NaN
2018,01,17,11,30,00,NaN
2018,01,17,12,00,00,NaN
2018,01,17,12,30,00,NaN
2018,01,17,13,00,00,NaN
2018,01,17,13,30,00,NaN
2018,01,17,14,00,00,NaN
2018,01,17,14,30,00,NaN
2018,01,17,15,00,00,NaN
2018,01,17,15,30,00,18.146
2018,01,17,16,00,00,18.058
2018,01,17,16,30,00,18.082
2018,01,17,17,00,00,17.558
2018,01,17,17,30,00,17.236
2018,01,17,18,00,00,17.274
2018,01,17,18,30,00,17.488
2018,01,17,19,00,00,17.79
2018,01,17,19,30,00,17.84
2018,01,17,20,00,00,17.38
2018,01,17,20,30,00,17.294
2018,01,17,21,00,00,16.896
2018,01,17,21,30,00,17.124
2018,01,17,22,00,00,17.306
